                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.98752,                0.93611,                 1.1952,                0.87276,                0.82213,                0.86347,                0.55081,                 1.2234,                 1.1974,                  1.333,             0.00069331,             0.00069331,             0.00069331
                     62,                0.88419,                 0.8508,                 1.0922,                0.85598,                0.80574,                0.86755,                 0.5468,                 1.2199,                 1.1811,                 1.3311,              0.0006768,              0.0006768,              0.0006768
                     63,                  0.871,                0.79899,                 1.0772,                0.87433,                0.79648,                0.88402,                0.56374,                 1.2088,                 1.1259,                 1.3169,              0.0006603,              0.0006603,              0.0006603
                     64,                0.88002,                0.88382,                 1.1245,                0.90138,                0.77537,                0.90138,                0.57679,                 1.1737,                 1.0882,                 1.2983,              0.0006438,              0.0006438,              0.0006438
                     65,                0.84025,                0.79943,                 1.0972,                0.88901,                0.81304,                0.88558,                0.55931,                 1.1859,                 1.1236,                 1.3118,             0.00062729,             0.00062729,             0.00062729
                     66,                0.86909,                0.83757,                 1.0778,                0.86349,                0.83786,                0.88825,                0.56556,                 1.2086,                 1.1012,                 1.3295,             0.00061079,             0.00061079,             0.00061079
                     67,                0.83381,                0.75812,                 1.0786,                0.91236,                0.78597,                0.88667,                0.56182,                 1.2183,                 1.0531,                 1.3377,             0.00059429,             0.00059429,             0.00059429
                     68,                0.86851,                0.78386,                 1.0859,                0.85181,                0.87269,                0.88689,                0.55709,                 1.2109,                 1.0447,                 1.3331,             0.00057778,             0.00057778,             0.00057778
                     69,                0.86134,                0.78835,                  1.081,                0.87416,                0.85606,                0.89029,                0.56321,                  1.177,                   1.03,                 1.3114,             0.00056128,             0.00056128,             0.00056128
                     70,                0.87122,                0.86827,                 1.1463,                0.88935,                0.84232,                 0.9004,                0.56695,                 1.1776,                0.99592,                 1.3125,             0.00054478,             0.00054478,             0.00054478
                     71,                 0.9086,                0.89072,                 1.1642,                0.91648,                0.84331,                0.90866,                 0.5706,                   1.18,                0.97111,                  1.308,             0.00052827,             0.00052827,             0.00052827
                     72,                0.85469,                0.78619,                 1.0945,                0.90029,                0.86718,                0.90688,                0.56768,                 1.2004,                0.96599,                 1.3578,             0.00051177,             0.00051177,             0.00051177
                     73,                0.80862,                0.76622,                 1.0806,                0.88762,                0.86551,                0.90427,                0.57016,                 1.2053,                0.95231,                 1.3698,             0.00049527,             0.00049527,             0.00049527
                     74,                0.82335,                 0.7708,                 1.1052,                0.90654,                0.84584,                0.90573,                0.57041,                  1.196,                 0.9362,                 1.3745,             0.00047876,             0.00047876,             0.00047876
                     75,                0.83553,                0.77931,                 1.0894,                 0.9348,                0.82469,                0.90222,                0.57691,                 1.1774,                0.92482,                  1.368,             0.00046226,             0.00046226,             0.00046226
                     76,                0.83867,                0.75113,                 1.0929,                 0.8711,                0.87026,                0.90644,                0.58163,                 1.1482,                0.96122,                 1.3516,             0.00044576,             0.00044576,             0.00044576
                     77,                0.78306,                0.74143,                 1.0797,                0.83945,                 0.8866,                 0.9062,                0.58781,                 1.1288,                0.98299,                 1.3389,             0.00042925,             0.00042925,             0.00042925
                     78,                0.79209,                0.73466,                 1.0536,                0.87916,                0.85877,                0.90977,                0.58933,                 1.1168,                0.97601,                 1.3232,             0.00041275,             0.00041275,             0.00041275
                     79,                0.78596,                0.73209,                 1.0615,                0.93211,                0.86524,                0.91548,                0.60534,                 1.1033,                0.94372,                 1.3068,             0.00039625,             0.00039625,             0.00039625
                     80,                  0.795,                 0.7144,                 1.0558,                0.91648,                0.86797,                0.91743,                0.59676,                  1.092,                0.93055,                 1.2987,             0.00037974,             0.00037974,             0.00037974
                     81,                0.79136,                0.71247,                  1.052,                0.91294,                0.86201,                0.91587,                0.59681,                 1.0889,                0.90619,                 1.3003,             0.00036324,             0.00036324,             0.00036324
                     82,                0.75218,                0.67766,                 1.0454,                0.91223,                0.85875,                0.91786,                0.60682,                 1.0886,                0.88762,                 1.2941,             0.00034674,             0.00034674,             0.00034674
                     83,                0.75633,                0.70695,                 1.0656,                0.91181,                0.85542,                0.91614,                0.60986,                 1.0856,                0.87594,                  1.286,             0.00033023,             0.00033023,             0.00033023
                     84,                0.75082,                0.66027,                 1.0458,                0.93141,                0.82038,                0.91817,                0.61613,                 1.0773,                0.88375,                  1.269,             0.00031373,             0.00031373,             0.00031373
                     85,                0.73807,                0.68224,                  1.053,                0.93435,                 0.8171,                0.91626,                0.62275,                 1.0745,                0.89305,                 1.2608,             0.00029723,             0.00029723,             0.00029723
                     86,                0.76069,                0.68805,                 1.0351,                0.93856,                0.80519,                0.91298,                0.61018,                 1.0811,                0.90356,                 1.2495,             0.00028072,             0.00028072,             0.00028072
